regionID,constellationID,constellationName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,factionID,radius
10000001,20000001,San Matar,-94046559700991340,49520153153798850,-42738731818401970,-103300968263126460,-84792151138856220,41707503568269944,57332802739327740,-57073934529882270,-28403529106921656,500007,0
10000001,20000002,Anares,-79181270817314180,59721766023555140,-85767563621370140,-88787078299773150,-69575463334855190,47720998611999976,71722533435110290,-96309075103911460,-75226052138828820,500007,0
10000001,20000003,Mamouna,-66544834327682070,39477217750414000,-102442842021202130,-72855380319923860,-58709857801616320,26044509386392230,52909926114435770,-108165273935479890,-96720410106924370,500007,0
10000001,20000004,Kalangin,-70742811798454570,45321203236056640,-43750504506967260,-81553344112251150,-59932279484657980,39508226756646340,51134179715466936,-51154633880983650,-36346375132950880,500007,0
10000001,20000005,Hevaka,-77059565114676220,27128553877044016,-26423360511028670,-87895710227609470,-66223420001742984,15194641371952620,39062466382135416,-30437697744700284,-22409023277357064,500007,0
10000001,20000006,Sazdih,-60336253980716920,41320717260796560,-73045951609031170,-62779423667720400,-57893084293713440,30602000215019544,52039434306573576,-81846145892347570,-64245757325714750,500007,0
10000001,20000007,Ananah,-81387267384142180,35795629390012052,-93153036077994060,-89393067632056240,-73381467136228100,24422502349262536,47168756430761570,-107306739389600960,-78999332766387170,500007,0
10000001,20000008,Mossas,-80743795009778340,38283162656076720,-64811841380152904,-85039605426929570,-76447984592627100,33253850385570630,43312474926582810,-71958178282436296,-57665504477869510,500007,0
10000001,20000009,Mekashtad,-70591121348560960,67796138757472320,-59587016159270070,-85714432605002130,-55467810092119790,56960319635112780,78631957879831860,-65672158117746600,-53501874200793544,500007,0
10000001,20000010,Bedaleya,-105549987563848110,71337084858167790,-92442300219604860,-115776531141551800,-95323443986144420,60897202373633304,81776967342702270,-103188394071000000,-81696206367769230,500007,0
10000001,20000011,Orshed,-104177990519564900,64228977553587576,-57850582055308400,-112289887271663980,-96066093767465800,60153248576634850,68304706530540300,-60141607008473496,-55559557102143304,500007,0
10000001,20000012,Oraron,-100508080691442900,52985129937712160,-67838940948732216,-106306688887846620,-94709472495039170,43353413865686440,62616846009737890,-74272136309516740,-61405745587947700,500007,0
10000001,20000013,Aguh,-85376912341931900,74627511451559840,-95203902877559780,-88958161349679570,-81795663334184220,66954736263958710,82300286639160960,-104268722287202050,-86139083467917500,500007,0
10000001,20000014,Mal,-67025415480593280,69065343721766640,-83738546602880030,-77433814344717060,-56617016616469510,55052089301390950,83078598142142340,-96570831066937980,-70906262138822070,500007,0
10000001,20000015,Subi,-96022070504776500,39296496777494190,-83624762212612450,-106671896575289740,-85372244434263250,31692620381826144,46900373173162250,-88535511544046960,-78714012881177920,500007,0
10000001,20000016,Joas,-49173916281705740,33836265012847844,-42057063709409280,-53452237678029304,-44895594885382180,25587659848169570,42084870177526120,-48121847483758810,-35992279935059750,500007,0
10000002,20000017,Ruomo,-111328382873739360,47124237231337230,108042345007325420,-120342524769331600,-102314240978147100,40196058733944360,54052415728730110,99838778491746820,116245911522904030,500001,0
10000002,20000018,Anttanen,-115692045321475070,73490041751318370,91044031940108620,-128835093262737390,-102548997380212770,64756684486083090,82223399016553660,83749938652043760,99338125228200000,500001,0
10000002,20000019,Ihilakken,-143645654698282130,52909580254258400,109619376865938180,-153519004289574620,-133772305106989630,42661698014827810,63157462493689000,104942953561997280,114295800169879070,500001,0
10000002,20000020,Kimotoro,-134996400468185440,64999452632293260,103325617317521340,-144006154015412200,-125986646920958690,58522258220588570,71476647043997950,89182007575000000,117469227060000000,500001,0
10000002,20000021,Okomon,-96930752873126220,66671478061111070,101741114599484450,-107736208975299580,-86125296770952860,59626073427345110,73716882694877040,86727475266120860,116754753932848020,500001,0
10000002,20000022,Onirvura,-90507115871837500,82550623397672500,97469213875362910,-98339802584918140,-82674429158756860,73322563317140100,91778683478204900,94106146334551440,101436453611752670,500001,0
10000002,20000023,Ihatalo,-70322400307853920,53718255284865624,88248896857148200,-81145003338444210,-59499797277263624,43962551893726630,63473958676004616,82171575207533330,94326218506763040,500001,0
10000002,20000024,Okkelen,-74187838088608480,92679684118250220,119743943763365070,-81148409550040960,-67227266627176000,83095211718440720,102264156518059730,115665443029160060,123822444497570080,500001,0
10000002,20000025,Otsabaira,-89365854722718910,78098349688938640,122815243158493440,-95471522233091570,-83260187212346240,67280694585548970,88916004792328300,116470441932998350,129160044383988510,500001,0
10000002,20000026,Aulari,-70831513081319016,92899595278725660,99214113850044320,-79911211676856290,-61751814485781740,81424075328876180,104375115228575170,92674264705223740,105753962994864910,500001,0
10000002,20000027,Etsala,-91794704342896560,79537338001393860,136023921368117100,-98457320565911140,-85132088119881980,75263794103355340,83810881899432380,129343994527352740,140857078227802930,500001,0
10000002,20000028,Mivora,-49195004630953010,35154556396755124,80627031104049780,-56106610880070180,-42283398381835850,30292857872742904,40016254920767340,77936800719028260,83317261489071300,500001,0
10000002,20000029,Orpana,-97766267902300910,71481166323680270,144452603161758620,-100496692320561140,-89381362917663170,64605950613365100,73759243099803500,141126808993396240,147778397330121020,500001,0
10000003,20000030,U29-0S,-66513135592344480,106332596113235300,165987695889980800,-70922167602412170,-62104103582276780,98904013912009890,113761178314460720,156333918206502100,175641473573459520,None,0
10000003,20000031,BUG6-X,-95371770993474160,68621257415593790,198066771995089280,-101434960175277380,-89308581811670940,60174367471158776,77068147360028800,191193971177705630,204939572812472930,None,0
10000003,20000032,OSJ7-I,-50082598650055470,87362461295059940,158787052717737860,-67201046889761840,-32964150410349100,76517661964270240,98207260625849650,149434316462171970,168139788973303740,None,0
10000003,20000033,DMXN-3,-99233760260769440,131254717897402260,209770750685339170,-109456397362478540,-89011123159060340,116894044393756100,145615391401048420,204846729634928540,214694771735749800,None,0
10000003,20000034,I89-EP,-77307446099039650,99429771158508700,191827695753878530,-84754366467009120,-69860525731070180,88761500030911460,110098042286105970,186873879547469700,196781511960287330,None,0
10000003,20000035,Z-DO53,-95979047770882850,91104243395762050,187989064417570560,-103272195706387140,-88685899835378560,77695879510842700,104512607280681390,174032373298672320,201945755536468770,None,0
10000003,20000036,YUT3-U,-96959562214227980,115976965323543870,178171700292354720,-107342206660499680,-86576917767956290,107640274018555340,124313656628532380,174149597006308600,182193803578400830,None,0
10000003,20000037,5YHF-H,-69460729913745070,107277728808784420,211861833588606800,-74858990530627000,-64062469296863140,96480937779572670,118074519837996160,201981936419678940,221741730757534600,None,0
10000003,20000038,UK-MI6,-52458407374935960,116744024602218270,161939902558408350,-57220361168829900,-47696453581042020,103573190306982700,129914858897453840,153974700969251330,169905104147565380,None,0
10000003,20000039,YDS0-Y,-37611080188305020,104567340214531420,143889798413638200,-47708893978364010,-27513266398246044,89585326694538580,119549353734524290,137134302229025380,150645294598251040,None,0
10000003,20000040,A3-T8B,-15599951390511778,58204170407514270,146094919517885730,-30335960161359944,-863942619663614,46232484927361220,70175855887667320,136755175421838530,155434663613932930,None,0
10000003,20000041,DILJ-7,-55557388676937140,103991527604496290,175235332491412540,-61108062551960456,-50006714801913810,96171826613593740,111811228595398820,169580138312569300,180890526670255800,None,0
10000003,20000042,0-8MWQ,-19710488872023716,84738041304520000,167961716935881200,-25600858792149650,-13820118951897786,79634242639569280,89841839969470720,155978303823390530,179945130048371870,None,0
10000003,20000043,F-V9QW,-54655474590854560,123108676507825780,218879593357516450,-60511622383391120,-48799326798317990,116132348558545390,130085004457106160,209793461215404580,227965725499628320,None,0
10000003,20000044,E-8CSQ,-1514667562461478,81652960362731440,175435909067550820,-10532836861876138,7503501736953184,74699713837950320,88606206887512560,169523299454529630,181348518680572000,None,0
10000003,20000045,9KX-M0,11095113585093610,90541970885213440,160705492923388480,357359445750513,21832867724436708,81643175281532530,99440766488894340,153611612048433660,167799373798343330,None,0
10000003,20000046,88G-M4,7984492458176916,68914220532039656,168077197075229000,2143875275812082,13825109640541750,57928337495112850,79900103568966460,163634658389055200,172519735761402780,None,0
10000004,20000047,L5-H1O,112345181195738080,58249254405505930,207923745285729500,99653246630054580,125037115761421570,51031642708078180,65466866102933680,196170865755490020,219676624815969000,None,0
10000004,20000048,J-4QD7,82235057281779280,68763943720376264,193468952726847200,74920147847206380,89549966716352180,56207619019690820,81320268421061710,190838445076755400,196099460376939000,None,0
10000004,20000049,LC-AQD,95365561830121890,37691399113295190,191007747774319420,87122757669019580,103608365991224200,25727567579592260,49655230646998120,178492833219463940,203522662329174900,None,0
10000004,20000050,7PUP-K,74349964199796510,57980328529961150,237707660060955870,69265512787123736,79434415612469300,48729672525131510,67230984534790790,233501886191157280,241913433930754460,None,0
10000004,20000051,V8UW-M,98850528343110780,79559619351353020,258638058258738750,89039881002363250,108661175683858320,62715918621067710,96403320081638320,239380624965198430,277895491552279100,None,0
10000004,20000052,T7B-VB,93258374828941260,55313475786618190,229855753632977300,84605309761575200,101911439896307330,39556766237408664,71070185335827730,212210488411692160,247501018854262460,None,0
10000004,20000053,B-PHYN,87274227413972820,52164330429476460,259770384539447870,78703117417821500,95845337410124130,32128302809621844,72200358049331070,249309915881332640,270230853197563140,None,0
10000004,20000054,9RW5-Z,87885693905269800,13865039116517132,164377322883813020,81499528910598800,94271858899940770,7424451206732371,20305627026301896,154668346914831140,174086298852794900,None,0
10000004,20000055,VL-OGL,93913901366827140,76661557980251540,295691910175006200,89780823999141440,98046978734512850,62520826596763976,90802289363739100,283834806453367300,307549013896645060,None,0
10000004,20000056,VW-JMB,79055461690551650,56150939252861570,307329486129294700,73723728875074720,84387194506028560,46175545958523800,66126332547199340,302181000880796500,312477971377793000,None,0
10000004,20000057,HN5-RL,99195578320276510,80755558873062110,326045817320346240,95944934156499260,102446222484053740,66697407164262390,94813710581861840,316078785872057000,336012848768635400,None,0
10000004,20000058,RO-AZT,101486057028745000,90275635871078450,309564902654401150,92581627518874740,110390486538615230,79250291172755520,101300980569401380,301451968589298240,317677836719504060,None,0
10000004,20000059,KCR-1E,98035362302126770,93879413847931230,357446704176557440,92637127434144260,103433597170109280,88615270818243970,99143556877618480,348062980957821600,366830427395293300,None,0
