regionID,regionName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,factionID,nebula,radius
10000001,Derelik,0,0,0,0,0,0,0,0,0,500007,0,0
10000002,The Forge,0,0,0,0,0,0,0,0,0,500001,0,0
10000003,Vale of the Silent,0,0,0,0,0,0,0,0,0,None,0,0
10000004,UUA-F4,0,0,0,0,0,0,0,0,0,None,0,0
10000005,Detorid,0,0,0,0,0,0,0,0,0,None,0,0
10000006,Wicked Creek,0,0,0,0,0,0,0,0,0,None,0,0
10000007,Cache,0,0,0,0,0,0,0,0,0,None,0,0
10000008,Scalding Pass,0,0,0,0,0,0,0,0,0,None,0,0
10000009,Insmother,0,0,0,0,0,0,0,0,0,None,0,0
10000010,Tribute,0,0,0,0,0,0,0,0,0,None,0,0
10000011,Great Wildlands,0,0,0,0,0,0,0,0,0,500015,0,0
10000012,Curse,0,0,0,0,0,0,0,0,0,500011,0,0
10000013,Malpais,0,0,0,0,0,0,0,0,0,None,0,0
10000014,Catch,0,0,0,0,0,0,0,0,0,None,0,0
10000015,Venal,0,0,0,0,0,0,0,0,0,500010,0,0
10000016,Lonetrek,0,0,0,0,0,0,0,0,0,500001,0,0
10000017,J7HZ-F,0,0,0,0,0,0,0,0,0,500005,0,0
10000018,The Spire,0,0,0,0,0,0,0,0,0,None,0,0
10000019,A821-A,0,0,0,0,0,0,0,0,0,500005,0,0
10000020,Tash-Murkon,0,0,0,0,0,0,0,0,0,500003,0,0
10000021,Outer Passage,0,0,0,0,0,0,0,0,0,None,0,0
10000022,Stain,0,0,0,0,0,0,0,0,0,500019,0,0
10000023,Pure Blind,0,0,0,0,0,0,0,0,0,None,0,0
10000025,Immensea,0,0,0,0,0,0,0,0,0,None,0,0
10000027,Etherium Reach,0,0,0,0,0,0,0,0,0,None,0,0
10000028,Molden Heath,0,0,0,0,0,0,0,0,0,500002,0,0
10000029,Geminate,0,0,0,0,0,0,0,0,0,None,0,0
10000030,Heimatar,0,0,0,0,0,0,0,0,0,500002,0,0
10000031,Impass,0,0,0,0,0,0,0,0,0,None,0,0
10000032,Sinq Laison,0,0,0,0,0,0,0,0,0,500004,0,0
10000033,The Citadel,0,0,0,0,0,0,0,0,0,500001,0,0
10000034,The Kalevala Expanse,0,0,0,0,0,0,0,0,0,None,0,0
10000035,Deklein,0,0,0,0,0,0,0,0,0,None,0,0
10000036,Devoid,0,0,0,0,0,0,0,0,0,500003,0,0
10000037,Everyshore,0,0,0,0,0,0,0,0,0,500004,0,0
10000038,The Bleak Lands,0,0,0,0,0,0,0,0,0,500003,0,0
10000039,Esoteria,0,0,0,0,0,0,0,0,0,None,0,0
10000040,Oasa,0,0,0,0,0,0,0,0,0,None,0,0
10000041,Syndicate,0,0,0,0,0,0,0,0,0,500009,0,0
10000042,Metropolis,0,0,0,0,0,0,0,0,0,500002,0,0
10000043,Domain,0,0,0,0,0,0,0,0,0,500003,0,0
10000044,Solitude,0,0,0,0,0,0,0,0,0,500004,0,0
10000045,Tenal,0,0,0,0,0,0,0,0,0,None,0,0
10000046,Fade,0,0,0,0,0,0,0,0,0,None,0,0
10000047,Providence,0,0,0,0,0,0,0,0,0,None,0,0
10000048,Placid,0,0,0,0,0,0,0,0,0,500004,0,0
10000049,Khanid,0,0,0,0,0,0,0,0,0,500008,0,0
10000050,Querious,0,0,0,0,0,0,0,0,0,None,0,0
10000051,Cloud Ring,0,0,0,0,0,0,0,0,0,None,0,0
10000052,Kador,0,0,0,0,0,0,0,0,0,500003,0,0
10000053,Cobalt Edge,0,0,0,0,0,0,0,0,0,None,0,0
10000054,Aridia,0,0,0,0,0,0,0,0,0,500003,0,0
10000055,Branch,0,0,0,0,0,0,0,0,0,None,0,0
10000056,Feythabolis,0,0,0,0,0,0,0,0,0,None,0,0
10000057,Outer Ring,0,0,0,0,0,0,0,0,0,500014,0,0
10000058,Fountain,0,0,0,0,0,0,0,0,0,None,0,0
10000059,Paragon Soul,0,0,0,0,0,0,0,0,0,None,0,0
10000060,Delve,0,0,0,0,0,0,0,0,0,None,0,0
10000061,Tenerifis,0,0,0,0,0,0,0,0,0,None,0,0
10000062,Omist,0,0,0,0,0,0,0,0,0,None,0,0
10000063,Period Basis,0,0,0,0,0,0,0,0,0,None,0,0
10000064,Essence,0,0,0,0,0,0,0,0,0,500004,0,0
10000065,Kor-Azor,0,0,0,0,0,0,0,0,0,500003,0,0
10000066,Perrigen Falls,0,0,0,0,0,0,0,0,0,None,0,0
10000067,Genesis,0,0,0,0,0,0,0,0,0,500003,0,0
10000068,Verge Vendor,0,0,0,0,0,0,0,0,0,500004,0,0
10000069,Black Rise,0,0,0,0,0,0,0,0,0,500001,0,0
10000070,Pochven,0,0,0,0,0,0,0,0,0,500026,0,0
10001000,Yasna Zakh,0,0,0,0,0,0,0,0,0,None,0,0
11000001,A-R00001,0,0,0,0,0,0,0,0,0,None,0,0
11000002,A-R00002,0,0,0,0,0,0,0,0,0,None,0,0
11000003,A-R00003,0,0,0,0,0,0,0,0,0,None,0,0
11000004,B-R00004,0,0,0,0,0,0,0,0,0,None,0,0
11000005,B-R00005,0,0,0,0,0,0,0,0,0,None,0,0
11000006,B-R00006,0,0,0,0,0,0,0,0,0,None,0,0
11000007,B-R00007,0,0,0,0,0,0,0,0,0,None,0,0
11000008,B-R00008,0,0,0,0,0,0,0,0,0,None,0,0
11000009,C-R00009,0,0,0,0,0,0,0,0,0,None,0,0
11000010,C-R00010,0,0,0,0,0,0,0,0,0,None,0,0
11000011,C-R00011,0,0,0,0,0,0,0,0,0,None,0,0
11000012,C-R00012,0,0,0,0,0,0,0,0,0,None,0,0
11000013,C-R00013,0,0,0,0,0,0,0,0,0,None,0,0
11000014,C-R00014,0,0,0,0,0,0,0,0,0,None,0,0
11000015,C-R00015,0,0,0,0,0,0,0,0,0,None,0,0
11000016,D-R00016,0,0,0,0,0,0,0,0,0,None,0,0
11000017,D-R00017,0,0,0,0,0,0,0,0,0,None,0,0
11000018,D-R00018,0,0,0,0,0,0,0,0,0,None,0,0
11000019,D-R00019,0,0,0,0,0,0,0,0,0,None,0,0
11000020,D-R00020,0,0,0,0,0,0,0,0,0,None,0,0
11000021,D-R00021,0,0,0,0,0,0,0,0,0,None,0,0
11000022,D-R00022,0,0,0,0,0,0,0,0,0,None,0,0
11000023,D-R00023,0,0,0,0,0,0,0,0,0,None,0,0
11000024,E-R00024,0,0,0,0,0,0,0,0,0,None,0,0
11000025,E-R00025,0,0,0,0,0,0,0,0,0,None,0,0
11000026,E-R00026,0,0,0,0,0,0,0,0,0,None,0,0
11000027,E-R00027,0,0,0,0,0,0,0,0,0,None,0,0
11000028,E-R00028,0,0,0,0,0,0,0,0,0,None,0,0
11000029,E-R00029,0,0,0,0,0,0,0,0,0,None,0,0
11000030,F-R00030,0,0,0,0,0,0,0,0,0,None,0,0
11000031,G-R00031,0,0,0,0,0,0,0,0,0,None,0,0
11000032,H-R00032,0,0,0,0,0,0,0,0,0,None,0,0
11000033,K-R00033,0,0,0,0,0,0,0,0,0,None,0,0
12000001,ADR01,0,0,0,0,0,0,0,0,0,None,0,0
12000002,ADR02,0,0,0,0,0,0,0,0,0,None,0,0
12000003,ADR03,0,0,0,0,0,0,0,0,0,None,0,0
12000004,ADR04,0,0,0,0,0,0,0,0,0,None,0,0
12000005,ADR05,0,0,0,0,0,0,0,0,0,None,0,0
14000001,VR-01,0,0,0,0,0,0,0,0,0,None,0,0
14000002,VR-02,0,0,0,0,0,0,0,0,0,None,0,0
14000003,VR-03,0,0,0,0,0,0,0,0,0,None,0,0
14000004,VR-04,0,0,0,0,0,0,0,0,0,None,0,0
14000005,VR-05,0,0,0,0,0,0,0,0,0,None,0,0
19000001,GPMR-01,0,0,0,0,0,0,0,0,0,None,0,0
